Nama,Komentar
Anon,Indonesia bangga punya Greysia Polii dan Apriyani Rahayu!❤️🇲🇨
Anon,"Indonesi bangga, dulu bendera Jepang berkibar di tanah air kita. Kini sangsaka merah putih berkibar di Jepang. Berkibarlah bendera ku. Terima kasih greysapoli & Apriyani🙏🏻❤️🇲🇨🇲🇨🇲🇨"
Anon,ikut menangis karena bangga...
Anon,"Selamat untuk Greysia P dan Apriyani R, kalian sangat membanggakan Indonesia."
Anon,Satu kata luar biasa
Adik Ahmadi,"Legenda yang akan tetap dibicarakan bertahun-tahun berikutnya dan tetap, akan selalu membuat orang2 menitikkan air mata.. 💪🇮🇩"
Anon,Terima kasih Greysia dan Apriyani. Kemenangan kalian membuat kita semakin semangat menghadapi PPKM. Semangat Indonesia
Whenwetalkabout Nature,"Years and years of training... This moment paid everything off... Congratulations, Indonesia's pride and joy ❤️❤️❤️❤️"
I Channel Official,"Masya Allah 🥺
Ikut terharu sangat. Semangat Indonesia ❤️
Kita semua bangga punya Greysia Polii dan Apriyani Rahayu 🥺🤝❤️"
Camericano Official,"Terharu sampai menangis melihat kemenangan Greysia Polii dan Apriyani Rahayu, SELAMAT ATAS KEMENANGAN UNTUK INDONESIA"
Jeng Laras,"Sangat luar biasa, selalu merinding klau liat pertandingan ini, tidak ada yg tidak mungkin. Garuda di dada. Selamat sekali lagi untuk atlet atlet. Kado terbaik untuk kemerdekaan 😊😊😊"
Anon,Greysia & Apriyani & the Team Terimakasih buat kerja kerasnya. Indonesia bangga punya kalian 🇮🇩 selamat atas kemenangannya 🇮🇩
Rafa Akbar,"I'm touched by their struggle, congratulations on the victory, always be enthusiastic"
cucu rukaesih,Inilah yg disebut pahlawan membela Indonesia penuh dengan perjuangan keringat dan air mata ..🇮🇩🇮🇩👍💪
GoBleng Official,Indonesia bangga pada kalian berdua yang sudah memperjuangkan nama bangsa ini❤
ADRI SABUNG,"Kado terindah untuk Indonesia..
Terima kasih untuk ganda putri indonesia.. selamat untuk kalian berdua... Semangat terus🙏👍🏿🙏👍🏿👍🏿"
TEIMCTV,"Berjuta juta mata menangis terharu, terima kasih grisya, Apriani..."
Anak Lanang Teknik,"Alhamdulillah Indonesia juara, semoga kita semua menjadi orang-orang yang sukses.👍👍💪💪"
Ameria Christiasih,Biarpun nonton ulang-ulang tapi tetep nangis 😭
meydia parmana,"Sumpah merinding setiap melihat mereka, terimakasih sudah mengharumkan nama Indonesia 😭❤️❤️"
Anon,Selamat buat kalian kak. Indonesia Bangga punya kalian👏
Yusuf Rules,Bangga sama atlet asal konawe ini membawa indonesia mendapatkan emas... Semoga atlet lain bisa termotivasi semangat indonesia
AL-ITTIHAD OFFICIAL,Semoga Indonesia semakin maju dan terus menerbitkan pemain2 yg berkualitas.
DEF LEPPARD,"Selamat Pahlawan Greysia - Apriyani 🎉
Juara di Olimpiade TERBAIK untuk atlet. Turnamen (4 tahunan) tertua & terbesar dimulai tahun 776 SM. Sempat berhenti tahun 393 M, dimulai kembali tahun 1896 M."
Tips Pintar,Kalo kalian ada yang mau bikin YouTube tapi bingung mau bikin konten apa? Nih gue ada saran bikin konten paling gampang 👉https://youtu.be/OlmQ7F119zU
Anon,Melu Nangis Ndelok Video Iki.... Terima kasih Atas Perjuangannya.... Seluruh Rakyat Indonesia Bangga dan Pasti Sangat Terharu....
Munti Ani,"Sumpah,air mataq ikut tumpah terharu 
Alhamdulilah ya allah membawa harum nama bangsa...."
Me ❤️,"Terimakasih atas kerja kerasnya 
atlet Indonesia tetap semangat untuk yang menang maupun yang kalah kalian sudah melakukan yang terbaik"
Zakir Lombok,Kereennnnn perjuangan yang sangat maximal 👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍👍
STAR OF DHAMMA,"""The next like brow""

""The next like brow""

""The next like brow""

SEMANGAT GOTONG ROYONG"
Anon,Selamat ya kalian luar biasa. Jaga kesehatan selalu ya
Nongkipedia,semangat yah kebanggaanku. Terimakasih buat kalian yang mengharumkan negara ini
MAS FARIQ,"Selamat atas prestasinya 🥇🥇
Q bangga dengan kalian berdua 💝💝
Q bangga jadi anak Indonesia 🇲🇨"
Arif 24,"""The Next Like Boss""
""The Next Like Boss""
""The Next Like Boss""
Semangat Gotong Royong Bosku"
Zaki Syafira,"Asli bikin istri menangis. Perjuangan mereka dari awal. Bukan unggulan untuk dapat emas. Tapi ternyata mengejutkan. Mengalahkan unggulan, step by step akhirnya di usia ke 36 Gresia Poli dapat emas olimpiade. Good job pahlawanku."
Anon,Selamat dan terima kasih! Terharu bgt akhirnya Indonesia Raya terdengar lagi di olympic
Hanan Novianti,Ini mah lebih nangis daripada nonton film yang paling sedih sekalipun 😭♥️
Natalia Br Purba,Meskipun nonton berulang ulang air mata tetap mengalir 😭😭😭😭
kiki channel,"Luar biasa 
Bangga, ikut menangis"
irfandinz,kado terindah menjelang ultah negeri kita indonesia ...terima kasih atas kerja kerasnya
Anon,"Luar biasa sangat membangakan, sangat terharu RI 1 sangat"" mengapreasi 🙏
Selamat untuk Grey & Apriyani sangat"" salut. Doa terbaik untuk kalian 🙏😇🙏"
Jack,"serius gw udah bertahun tahun gk pernah nangis, baru kali ini gw bisa nangis terharu cuma gara² lihat ini video.... ❤❤🇮🇩🇮🇩🇮🇩"
ASIYAH ᬅᬲᬶᬬᬄ,"Terimakasih gresia polli & apriani. We proud of u, we love u!! ❤️❤️"
Music Entertainment,Ikut bangga jadi masyarakat Indonesia 🇲🇨
housewifelyfe,Merinding guyss....detik-detik menyaksikan kemenangan mereka! Terima kasih Greysia Polii dan Apriyani Rahayu sudah menjadi kebanggan Indonesia 🙏
Anon,"Terima kasih banyak Kak Greysia dan Kak Apriyani untuk kado 76th kemerdekaan Indonesia bulan ini!

Terima kasih telah mencetak sejarah di ganda putri, sekaligus meneruskan tradisi emas badminton Indonesia!

Kalian pahlawan!"
3 billion,"Mantap!!!!
""The next like brow""
""The next like brow""
""The next like brow"""
Ghoden,"""the next like brow""
""the next like brow""
""the next like brow""
Semangat gotong royong 💯"
Duniahobi92,sangat terharu liat perjuangannya terima kasih greysia polii dan apriyani rahayu
Taribuns TV,"MERINDING melihat aksinya, Selamat Untuk Kemenangannya, Membawa Harum nama Indonesia, berkibar lah bendera Indonesia di Jepang..."
Anon,"Saya nangis saking bangga sama kalian.
Terima kasih Srikandi Indonesia"
TAUTAN KATA Keluarga Lubara,Suatu pertandingan yang membuat bangsa Indonesia menangis dikarenakan terharu dan bangga dikarenakan Greysia Polii & Apriyani Rahayu menjadi juara Olimpiade Tokyo 2020.
Aqila Nida,Bangga punya kalian... best inilah kebanggaan sesungguhnya bangsa indonesia krn sdh mengibarkan bendera merah putih dikejuaraan dunia... Bravo bulutangkis indonesia
Utami Pras,Terima kasih ya Allah Engkau berikan hadiah terindah utk bangsa kami ditengah pandemi
My Channel TV,"sumpah, nangis dan bahagia campur jadi satu, makasih gryesia & apriyani, semoga kalian trus berprestasi, bangga banget."
Anon,Terharuuuu :’(
Tesalonika Barus88,"Bagi Tuhan tak ada yg tak mungkin,bagi Tuhan tak ada yg mustahil 👏👏👏 komentator be like🥰"
mimin art&craft,Alhamdulillah jadi terharu Indonesia Jaya Joss gandos
UZIUZI CHANNEL,Semoga anak2 ku bisa mengharumkan nama bangsa seperti beliaw-beliaw ini. . .aminnnn
TeSYAH Kids Channel,"Ga bosen2nya liatin ini, tiap liat selalu merinding dan terharu 😢"
TEIMCTV,Siapa disini ikut nangis terharu ketika detik2 Indonesia menang mendapat medali emas???
hendra barat,"Merinding, bangga, kemenangan untuk Indonesia 👍👍👍"
Aya Ferry KICAU,"Berlinang air mata saya, sujud syukur untuk kemenangan Indonesia. Semoga saya tahun ini bisa megejar impian 1k nya"
Deisye s,"terima kasih kalian berdua telah membanggakan dan mengharumkan nama bangsa tanah air Indonesia,,,merah putih berkibar lebih tinggi"
Cah Ganteng,"Mantap pemain indonesia yg mampu
Menjukan kemenangan di dunia..
Semangat kami slalu mendukung mu"
Anon,Saya menonton sambil Menangis Bahagia ❤️🇮🇩
Ahmad and Family,Merinding saat denger lagu Indoneaia raya berkumandang🥺
Indah Ibrahim,"Pertandingan yg spekta fariasi pwrmainanya bikin ga mau pindah cenel, selamat ya smg bwt Olompiade berikutnya nular meraih emasnya Amin ya Allah"
Petrus Darsono pejuangReceh,"Terharu indonesia bisa menang...
Tak terasa air mataku berkaca kaca terharu..
Semangat mbak"
Konten Unix,"Alhamdulillah, Indonesia menang medali emas, semoga perjuangan ini menjadi perjuangan untuk kemerdekaan Indonesia kita... 🙏"
Anon,GREYSIA POLII DAN APRIYANI RAHAYU TERLALU OP!!  SELAMAT INDONESIA BANGGA PUNYA KALIAN.
DAPUR ALYSHA BANYUWANGI,Terima kasih Pahlawan Olahraga 😭 Terima Kasih Untuk Hadiah HUT RI yang Begitu Luar biasa 😍😍
Nurhalipah Wahidah,Di putar berkali - kali tetep aja nangess😭
AN Channel,"Saya sebagai Warga Indonesia merasa bangga atas pencapaian kakak Greysia Polii dan Kakak Apriyani Rahayu, semoga kedepannya makin sukses membawa harum negara tercinta ini"
Lestari Jaya Mandiri,Congrats... Ikut bangga sebagai satu bangsa Indonesia 💪
Anon,Terharu woy.. 😭
WAK BEBOO,"Luar biasa, bangga jadi warga negara indonesia 🥳🥳🥳
 #menangis bahagia 🤗🤗🤗🤗"
putu kidyu,Auto nangis liat mereka menang 😭
Nusaibah Ummu faiz wa arif,Trimakasih sudah membuat bangsa ini tersenyum saat berduka..❤️❤️❤️
Rockstar Game,Indonesia bangga melihat ini ❤️
Anon,siapa kita siapa kita!??? INDONESIA!! Bangga! Bangga! Bangga! Terima kasih kado Dirrgahayu Indonesia! woohooooooooooo GOLD Medalist! Sejarah!
Hen Sekai,"Akhirnya bendera Indonesia bisa berkibar dijepang secara resmi😂🙏🏻,, tetap pertahankan selalu prestasi nya dalam permainan bulutangkis 🏸"
mimi pipi,Masya Allah terharuuuu.. nagiiiis bangga
Sammy Mamoto,tanpas sadar air mata jatuh .. Hiduplah Indonesia Raya
Sri Dewi Mulyaningati,Akhirnya... Yuk Bangkit lagi ditengah Pandemi.... Bangga dan Terharu.... Prestasi yang patut diberi acungan jempol
AD GAMING,epic moment di ultah tanah airku
Purnama Aditya,Masih di rewatch tetep nangis merinding😭😭😭😭🇮🇩❤
Tutik Nushah,Bolak balik liat ini masiihhh aja nangis....terimakasih Apriyani...terimakasih Greysia...Indonesia bangga sama kalian ❤❤❤🇮🇩🇮🇩🇮🇩
Tiara Safrina Dewayani,"bolak balik nonton kemenangan duo ini selalu meneteskan air mata.. Terharu dan bangga banget.. Thanks Greys and Apriyani , tak lupa pula terima kasih juga untuk para pemain lainnya yg sudah bermain dengan luar biasa , yg belum menang jgn berkecil hati tetap semangat, belajar strategi, dan tentunya latihan terus"
Bang Rudy Terapis pikiran bawah sadar,Kita bangga pada mereka 🙏❤️❤️
Anon,Indonesia bangga punya kalian
Traveling With Kiwi,"Sudah hampir satu minggu berlalu, tapi setiap kali ulang video ini tetap terharu"
Sutadi YT80,Selamat atas medali emasnya. Mantap 💯❤️
Calon Youtuber,"Selamat atas pencapaiannya untuk ganda putri indonesia, Saya ssebagai warga indonesia bangga sekali atas pencapaian mereka"
bang pradana,alhamdulillah kado terbaik menjelang HUTRI. maju terus tanah airku
Anon,Alhamdulillah....terima kasih buat kerja kerasnya 🎉🎉
Risvanti,ikutan nangis. Thank you so much telah kembali mengharumkan nama Negeri ini ❣️
Zahra Zulaikha,"Banggaaaaaa, Alhamdulillah Ya Allah, aaaa ma syaa Allah, congratss kaaa!makasihh yaa, hadiah kemerdekaan bgt inii"
Short Escape ID,ga pernah bosen liat moment ini. Terbaik utk Indonesia. Salam ya dari Short Escape ID.
Dedha Dedha,Diulang berapa kalipun saya pasti menangis bangga 😭😭🙏
Anon,"Alhamdulillah,.. Selamat Greysia Polii & Apriyani Rahayu untuk INDONESIA 🇮🇩😊❤️"
Yudi Agung Nugroho,"Alhamdulillah. Selamat untuk Greysia Polii, Apriyani Rahayu dan Eng Hian"
Ichwan Syafa'at,Sebagai warga negara Indonesia saya benar2 bangga dan terharu 😭
Rama Swiftlet,Terimah kasih sudah membanggakan Indonesia❤️❤️
sahar udin,Alhamdulillah kita warga Indonesia patut bangga dengan semua ini.
Anon,Aku Bangga Pada kalian .... Terimakasih untuk Para Pejuang....
MARSEL R. ALI,"Masih ku Nonton ulang2. Saat Indonesia Raya berkumandang, Saya ikut berdiri, beri Hormat sampai Selesai, sambil ada derai air mata Bahagia 👏👏👏👏👏👏"
AMIR Drs,Terimakasih Greysia Polii dan Apriyani Rahayu kalian telah memberi hadiah buat indonesia ❤❤❤❤
zahra1700,"Skor
21+19
21+15
=76 HUT RI 🇮🇩"
Momok Gaming,Pertandingan yg sangat menegang kan sampai merinding!!!!
Anon,Indonesia Bisa 🚀🚀
Awan Biru Music,"Terimakasih Greysia Poli dan Apriyani Rahayu, ikut terharu dan bangga !! INDONESIA 🇮🇩"
AR49 INA,"Thomas Bach (Ketua Komite Olimpiade) be like: ""Se you in Paris"""
Stry_dep,Satu indonesia bangga terhadap kalian❤️
Pura pura Tau Fisika,"Sangat terharu, alhamdulillah pelipur Lara Bangsa Indonesia di Saat Pandemi Corona. Semoga bisa memotivasi Generasi Penerus Bangsa yang lain, Aamiin."
Anon,"Sangat membanggakan,
kita semua indonesia"
Yakim Samuel,Masihh merinding setiap liat ini🥺🥺
BARABIKE,Kami sangat bangga punya kalian 🔥🔥🔥
Sukriya Ulfa,"Udah nonton berkali2 tetep selalu terharu kalo liat ini,selamattt kakak"
Irhan Prasetyo,Sulawesi bangga punya kalian dan Indonesia pun sangat bangga punya kalian... 🥺
Update & Upgrade,Upsen siapah disini yg mendoakan sambil nangis buat kemenangan Gold medal greyap ? trendingkan seminggu gaes yg se7 Like
Naruto8990,"Jadi terharu melihat semangatnya 😢😢😢
Sejarah ..."
Lirik Musik,Kebanggaan Indonesia. Selalu terharu setiap membaca dan menonton beritanya. Selamat ladies kalian hebat...👍
ayuu aja,Merinding dan terharu sekali..... Bangga banget indonesia punya atlit2 hebat selamat dan terima kasih kepada greysia dan apriyani....
Salim Andrianto,Ikut nangis terharu tegang aku nonton nya. Alhamdulillah
Anon,"Selamat atas kemenangan Indonesia.. 
Bersatu kita teguh 
Bercerai kita runtuh.."
DATA QWERTY,"udah 5 hari yang lalu, tapi tetep aja bangga melihat duo ganda putri.. Iam proud of you !!"
Wirahadi Channel,terharu sama komentatornya😍
Iqbal Alhamidi,Jujur sempet hopeless waktu dua ganda putra yg digadang2 dpt emas malah keok.. tp justru greyap yg tdk di duga2 malah jd juara.. terima kasih banyak atas kerja kerasnya girls.. kalian adalah pahlawan masa kini.. kado terindah buat  HUT RI ke 76.. mirip sama pas olympic 2008
AxoL,"Gila sih ini match seru bgt, sampe ga berasa udh abis udud esse sebungkus smbil nonton 😂
Maju terus badminton indonesia 🇮🇩"
Update & Upgrade,"Siapah yg Berdoa utk greyap ? dan teriak "" Heboh sendiri kaya Valent ? SIAPAAH KITAAAAAAA ??? Trendingkan gaes no1 INI GOLD MEDAL SEJARAH GANDA PUTRI LOH"
Central Tutorial,Luar biasa atletik indonesia ....mantap
Anggi Febriani,alhamdulilah.. terima kasih dan congratulations untuk Greysia Polii dan Apriyani Rahayu. SELAMAT INDONESIA ❤️
ZhG1983 Official,Terimakasih persembahan hadiah terbaik untuk dirgahayu Indonesia...
Benyamin Katihara,"Saya juga terharu dan meneteskan air mata setelah melihat GresPoli memenangkan pertandingan , kita bersatu maka kita kuat"
Anon,Congratulation ❤️❤️❤️
WAHAI CHANNEL,Bravo Indonesia..sebagai rakyat Indonesia saya sangat bangga sekali sampai terharu nonton y..😭
Mohammad Yurisa Paatianto,"nangis karena sinetron ❎
nangis karena lihat perjuangan mereka ✅"
Ryan Jhon,Andai Saja ada Lomba BEGADANG SAMPAI PAGI gue pasti juaranya;)😀
Aldo Man,"Pas nonton siaran langsung nya tegang dan pas menang loncat2 sampe mecahin kaca meja ... ,😅tp moment paling berharga dan membanggakan buat Indonesia"
Komang Suardana,"dipersembahkan dari sektor yang tidak diunggulkan, mengalahkan hampir semua pemain terbaik dunia, sangat luar biasa. segala hormat dan bangga untuk Greysia dan Apriyani"
GMB ISLAMIC,"Alhamdulillah, air mata ku menetes, karena bangga.."
